id,id_empresa,ativo,pessoa,fantasia,razao,nome,documento,ie,telefone1,telefone2,email,site,cep,estado,codigo_cidade,cidade,bairro,endereco,numero,complemento,observacoes,deletado
80,80,1,0,FABRICIO-FORD ,FABRICIO-FORD ,FABRICIO-FORD ,NULL,NULL,(__) 7649 - 2188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
82,82,1,0,RODA FERRO-ARVINMERITOR,RODA FERRO-ARVINMERITOR,RODA FERRO-ARVINMERITOR,NULL,NULL,NULL,NULL,NULL,NULL,06097-120,SP,NULL,OSASCO,CENTRO,R ESTER ROMBENSO 403,NULL,NULL,NULL,0
84,84,1,0,POSTO COMBUSTIVEL-ESTRELA ,POSTO COMBUSTIVEL-ESTRELA ,POSTO COMBUSTIVEL-ESTRELA ,NULL,NULL,(16) 3372 - 8415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
85,85,1,0,CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA,CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA,CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA,02.036.483/0004-52,407237107113,(16) 4583 - 6161,(11) 4583 - 6200,36226,NULL,13212-240,SP,3525904,JUNDIAI,MEDEIROS,RODOVIA DOM GABRIEL PAULINO BUENO COUTO,NULL,KM 66,NULL,0
2627,2627,1,0,JOVEM PAN,SISTEMA ATHENAS PAULISTA DE RADIODIFUSAO,SISTEMA ATHENAS PAULISTA DE RADIODIFUSAO,01.064.978/0001-80,NULL,(16) 3203 - 5355,NULL,NULL,NULL,14870-180,SP,3524303,JABOTICABAL,CENTRO,AVENIDA MARECHAL DEODORO,350,NULL,NULL,0
87,87,1,0,BRINDES-PLASTBEL,ABEL PEREIRA DOS  SANTOS FILHO,ABEL PEREIRA DOS  SANTOS FILHO,NULL,NULL,(__) 3201 - 1196,NULL,NULL,NULL,NULL,SAO CARLOS,NULL,NULL,NULL,R.HUMBERTO DE CAMPOS ,308,VL.LUTALLA,plastbel_bolsas@yahoo.com.br,0
88,88,1,0,INJECAO-CLARICE(REMANF),INJECAO-CLARICE(REMANF),INJECAO-CLARICE(REMANF),NULL,NULL,(19) 8126 - 4219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
89,89,1,0,ACESSORIOS-KEKO,ACESSORIOS-KEKO,ACESSORIOS-KEKO,NULL,NULL,(54) 2101 - 0730,(54) 2101 - 0700,keko,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(16)9607-3000(16)30551984,0
90,90,1,0,RENAULT-EURO BRAKE,RENAULT-EURO BRAKE,RENAULT-EURO BRAKE,04.023.406/0001-40,NULL,(11) 3835 - 3235,(11) 3835 - 3122,josias@urobrake.com.br,NULL,05122-070,SP,NULL,SAO PAULO,CENTRO ,R WALTRUDES CORREA 115,NULL,NULL,BRADESCO : AG2876/CC4499-7,0
91,91,1,0,PASTA-LIMPAR MAO,PASTA-LIMPAR MAO,PASTA-LIMPAR MAO,NULL,NULL,(16) 9786 - 1803,NULL,NULL,NULL,NULL,SP,NULL,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
92,92,1,0,MAURCIO,EQUIPAMENTOS/MANUTENCAO-RIMAQ,EQUIPAMENTOS/MANUTENCAO-RIMAQ,NULL,NULL,(16) 3967 - 8252,(16) 8127 - 2773,NULL,NULL,14090-340,SP,NULL,RIBEIRAO PRETO,JD PAULISTANO ,R JOAO BIM 1305,NULL,NULL,NULL,0
94,94,1,0,CLARO-FLEX TELECON,CLARO-FLEX TELECON,CLARO-FLEX TELECON,NULL,NULL,(__) 3372 - 5246,NULL,sac@flextelecon.com.br,NULL,13560-110,SP,NULL,SAO CARLOS,CENTRO,R.RIACHUELO.436,NULL,NULL,NULL,0
95,95,1,0,ENGATES-FREVO,ARTUR SIMOES DE FREITAS ENGATES-ME,ARTUR SIMOES DE FREITAS ENGATES-ME,04.489.179/0001-43,562241497118,(18) 3909 - 4366,NULL,engatesfrevo@hotmail.com,NULL,19064-200,SP,3541406,PRESIDENTE PRUDENTE,CONJUNTO HABITACIONAL ANA JACINTA,RUA VICENTE MELE,522,NULL,NULL,0
96,96,1,0,ACESSORIOS-NEW KAR,ACESSORIOS-NEW KAR,ACESSORIOS-NEW KAR,NULL,NULL,(11) 4138 - 8121,NULL,NULL,NULL,06785-290,SP,NULL,TABOAO D SERRA,PQ.IND.PIRAJUSSA,R.FRANCISCO DAMICO .115,NULL,NULL,EDSON PORTO 011-78324202/ID 84*10690 (AUTOMEC),0
97,97,1,0,PNEU-AUTO TEC  ,PNEU-AUTO TEC  ,PNEU-AUTO TEC  ,NULL,NULL,(11) 4705 - 1107,(11) 4156 - 3102,NULL,NULL,NULL,SP,NULL,SANTANA PARNAIBA,NULL,NULL,NULL,NULL,NULL,0
98,98,1,0,TELEFONICA  ,TELEFONICA  ,TELEFONICA  ,NULL,NULL,(16) 9113 - 8471,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10315 /DENER 97700956,0
112,112,1,0,AUTO ELETRICO-BORGE,AUTO ELETRICO-BORGE,AUTO ELETRICO-BORGE,NULL,NULL,(16) 3368 - 9435,NULL,NULL,NULL,NULL,SP,NULL,SAO CARLOS,VILA ISABEL,AV: GETULIO VARGAS,NULL,NULL,NULL,0
116,116,1,0,IMPORTADOS-VANS MARAJA IMPORTS,IMPORTADOS-VANS MARAJA IMPORTS,IMPORTADOS-VANS MARAJA IMPORTS,NULL,NULL,(11) 3941 - 2393,(11) 3941 - 1879,NULL,NULL,51853-500,SP,NULL,SAO PAULO,JARAGUA ,R 21 DE AGOSTO 277,NULL,NULL,NULL,0
117,117,1,0,VEICULOS-BARU VEICULOS DE FIBRA ,VEICULOS-BARU VEICULOS DE FIBRA ,VEICULOS-BARU VEICULOS DE FIBRA ,NULL,NULL,(11) 6641 - 8840,NULL,NULL,NULL,NULL,SP,NULL,SAO PAULO,PENHA ,AV GABRIELA MISTRAL 835,NULL,NULL,NULL,0
118,118,1,0,NANTES,NANTES,NANTES,NULL,NULL,(16) 3368 - 5000,NULL,NULL,NULL,NULL,SP,NULL,SAO CARLOS,NULL,AV GETULIO VARGAS,NULL,NULL,NULL,0
120,120,1,0,CAIXA DIRECAO/REMANF-EDAO,CAIXA DIRECAO/REMANF-EDAO,CAIXA DIRECAO/REMANF-EDAO,NULL,NULL,(16) 3375 - 5310,(__) 3372 - 1312,NULL,NULL,13560-000,SP,NULL,SAO CARLOS,VILA PRADO ,R:LEOPOLDO PRADO,1262,NULL,NULL,0
140,140,1,0,PECAS USADAS -PEDRINHO(ANTIGO JOAL),PECAS USADAS - JOAL  ,PECAS USADAS - JOAL  ,NULL,NULL,(16) 3368 - 9467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
141,141,1,0,SUN SNAP ON DO BRASIL COM E IND LTDA,EQUIPAMENTOS/VENDA-SUN,EQUIPAMENTOS/VENDA-SUN,60.395.175/0001-77,NULL,(19) 2108 - 1000,NULL,NULL,NULL,13456-401,SP,NULL,SANTA BARBARA DO OESTE ,DIST INDUSTRIAL ,RUA JUSCELINO KUBITSCHEK DE OLIVEIRA,470,NULL,BANCO AG:3362-6  C/C:1640-39997408 ASSIN TECNICA RIB PRETO169156-4826 MARCOS /VICENTE 16-988155012 16-9-97250826EXATAAUTOMOTIVAYAHOO.COM.BR   MARCEL MARCOS-991564826,0
142,142,1,0,CARTORIO-PORTO ,CARTORIO-PORTO ,CARTORIO-PORTO ,NULL,NULL,(16) 3373 - 9000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
143,143,1,0,PNEU-LEXUS(KUMHO),PNEU-LEXUS,PNEU-LEXUS,NULL,NULL,(14) 3021 - 6293,NULL,alexandrebarbosa.pneus@gmail.com,NULL,14075-000,SP,NULL,NULL,VL ELISA ,NULL,NULL,NULL,NULL,0
144,144,1,0,TRANSPORTE-TRANSCARGA ,TRANSPORTE-TRANSCARGA ,TRANSPORTE-TRANSCARGA ,NULL,NULL,(__) 3361 - 4198,NULL,NULL,NULL,NULL,SAO CARLOS,NULL,NULL,NULL,ROD W LUIS KM 236,1,RURAL ,NULL,0
145,145,1,0,PECAS GELADEIRA-LAIRTON,PECAS GELADEIRA-LAIRTON,PECAS GELADEIRA-LAIRTON,NULL,NULL,(16) 3307 - 7116,NULL,NULL,NULL,13568-250,SP,NULL,SAO CARLOS,JD MUNIQUE ,R MANOEL MARTINS 165,NULL,NULL,NULL,0
149,149,1,0,LUBRIFICANTES-RICK,MULTI LUB,MULTI LUB,NULL,NULL,(__) 3307 - 7859,NULL,NULL,NULL,NULL,SP,NULL,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
152,152,1,0,CLARO ,CLARO ,CLARO ,NULL,NULL,(16) 3333 - 8628,NULL,atendimento@onlineclaro.com.br,NULL,13560-000,SP,NULL,ARARQUARA,NULL,R MONTEIRO LOBATO  ,NULL,NULL,NULL,0
154,154,1,0,MOTO-CASA CAPACETE ,MOTO-CASA CAPACETE ,MOTO-CASA CAPACETE ,NULL,NULL,(16) 3625 - 1342,NULL,NULL,NULL,13560-000,SP,NULL,RIBEIRAO PRETO,CENTRO ,R BERNARDINO DE CAMPOS 1118,NULL,NULL,NULL,0
156,156,1,0,FERRAMENTA-OXI MAQUINAS ,FERRAMENTA-OXI MAQUINAS ,FERRAMENTA-OXI MAQUINAS ,NULL,NULL,(16) 9601 - 2136,NULL,NULL,NULL,13570-400,SP,NULL,SAO CARLOS,VL LUTFALA ,AV GETULIO VARGAS 83,NULL,NULL,NULL,0
158,158,1,0,BENEVICK CONSERTO/BALANCEADORA,EQUIPAMENTOS/MANUTENCAO-BENE,EQUIPAMENTOS/MANUTENCAO-BENE,NULL,NULL,(__) 9759 - 1538,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
159,159,1,0,EMEB DO BRASIL LTDA  ,EQUIPAMENTOS/VENDA-EMEB,EQUIPAMENTOS/VENDA-EMEB,50.227.644/0001-95,NULL,(11) 4024 - 1921,(01) 1296 - 9200,NULL,NULL,NULL,SP,NULL,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
162,162,1,0,PNEU-TUR  ,PNEU-TUR  ,PNEU-TUR  ,71.806.202/0001-73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
165,165,1,0,ADVOGADO-ALINE,ADVOGADO-ALINE,ADVOGADO-ALINE,NULL,NULL,(16) 3413 - 1689,(__) 9174 - 4268,NULL,NULL,13560-000,SP,NULL,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
166,166,1,0,MASTRA ESCAPAMENTOS,MASTRA ESCAPAMENTOS,MASTRA ESCAPAMENTOS,NULL,NULL,(08) 0016 - 6127,(19) 3446 - 4314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2975,2975,1,0,MOTORISTAS PECAS ARARAS,MOTORISTAS PECAS ARARAS,MOTORISTAS PECAS ARARAS,NULL,NULL,(19) 3542 - 2656,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
167,167,1,0,TRANSPORTE-EDSON,TRANSPORTE-EDSON,TRANSPORTE-EDSON,NULL,NULL,(16) 9638 - 2852,(16) 9232 - 3573,NULL,NULL,NULL,SP,NULL,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
169,169,1,0,SERRALHERIA-TC,SERRALHERIA-TC,SERRALHERIA-TC,NULL,NULL,(16) 3116 - 4430,NULL,NULL,NULL,13560-000,SP,NULL,SAO CARLOS,CIDADE JARDIM ,R BERNARDINO F NUNES 635 BLOCO 02,NULL,NULL,VAGNER 97167784,0
171,171,1,0,MATERIAIS P/CONSTRUCAO-TARANA,MATERIAIS P/CONSTRUCAO-TARANA,MATERIAIS P/CONSTRUCAO-TARANA,NULL,NULL,(16) 3368 - 2249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
