id;codigo;registro_uso;registro_uso_usuario;fantasia;razao;ie;ie_inddest;documento;fixo_1;fixo_2;fixo_3_contato;fixo_3;endereco;numero;bairro;complemento;codigo_cidade;cidade;estado;cep;email;observacoes
12;0-00012;N;;DINPAR;DIMPAR DIST.NACIONAL DE PARAFUSOS E PECAS LTDA;112046623118;9-NAO CONTR;68.763.053/0001-44;(19) 3576 - 1452;;800163068;(11) 3376 - 0426;R: SOLDADO JOSE ANTONIO MOREIRA, 200;;JD.JAPAO;;;SAO PAULO;SP;02143-060;;"50+3+4 FALCAO"
13;0-00013;N;;PNEU-PASSARE;PNEU-PASSARE;;9-NAO CONTR;;(19) 3422 - 7881;;ANDRE/PAULO;;RUA:DA GLORIA, 2450;;JD.PAULISTA ;;;PIRACICABA;SP;13401-040;;
17;0-00017;N;NULL;DISTRIBUIDORA-ALTERNATIVE LIMEIRA;DISTRIBUIDORA-ALTERNATIVE LIMEIRA;;9-NAO CONTR;;(19) 3451 - 8616;;DANIEL;;;;;;;LIMEIRA;SP;13560-000;;
18;0-00018;N;;PNEU-BORRACHARIA SAO CARLOS  ;PNEU-BORRACHARIA SAO CARLOS  ;637009577112;9-NAO CONTR;59.606.178/0001-23;(16) 3368 - 5357;;;;AV GETULIO VARGAS 290;;JD MARACANA;;;SAO CARLOS;SP;13570-390;;
20;0-00020;N;;PNEU-RECAPEX ;PNEU-RECAPEX ;684005653110;9-NAO CONTR;55.299.440/0001-83;(__) 9138 - 9364;;RITA (16)32538731;;AV: VICENTE JOSE PAISE, 710;;;;;TAQUARITINGA ;SP;15900-000;016-39139708;
2639;fev/39;N;NULL;VADO VADO;VADO AUTO PECAS;;9-NAO CONTR;;(16) 2272 - 5888;;;;RUA CANDIDO DE ARRUDA BOTELHO;1075;SANTA FELICIA;;3548906;SAO CARLOS;SP;13560-000;;
2623;mar/23;N;NULL;INFOARA;INFOARA;181354607116.;9-NAO CONTR;10.298.423/0001-93;(16) 3114 - 0673;;;;RUA SAO BENTO;2113;CENTRO;;3503208;ARARAQUARA;SP;14801-300;;
21;0-00021;N;NULL;WCV EQUIPAMENTOS ELETRONICOS LTDA ;EQUIPAMENTOS/VENDA-WCV;;9-NAO CONTR;;(11) 5535 - 7200;(11) 5531 - 8784;MIRO;;ALAMEDA DOS ANAPURUS 1939;;MOEMA;;;SAO PAULO;SP;04087-007;wcv@wcv.com.br;
23;0-00023;N;;PNEU-BARRELA ;PNEU-BARRELA ;637305760112;9-NAO CONTR;66.120.171/0001-62;(17) 3818 - 5999;(17) 9712 - 4089;TIAGO VENDEDOR (17)96061951;;R: RUI CARLOS GOMES, 980;;;;;;;15115-000;jmesmarcos@yahoo.com.br;B.BRASIL AG.1510-5 CC: 5268-X BARRELA
24;0-00024;N;;PNEU-RODABEM;PNEU-RODABEM;;9-NAO CONTR;;(19) 3432 - 7557;;LUCIANO / FABIO 019-98395010;;ROD PIRACICABA -ANHEMBI KM 3,5;;NOVA SUICA;;;PIRACICABA ;SP;13400-970;;
25;0-00025;N;;TRANSPORTE-RM;TRANSPORTE-RM;;9-NAO CONTR;;(16) 3366 - 3915;;016-30105772/5773;;;;;;;;;_____-___;;RIB PRETO 016 39698300
26;0-00026;N;NULL;COLONIAL CORRETORA DE SEGUROS;RODA-COLONIAL;111135135118;9-NAO CONTR;;(11) 2173 - 5600;;NANA 2173-5607;;AV MORUMBI 8310;;MORUMBI;;;SAO PAULO;SP;04703-000;;AG:1991-7 /28800-4 BRADESCO
27;0-00027;N;NULL;RODA-SB RODAS;RODA-SB RODAS;;9-NAO CONTR;;;;MARCILIO 19-9718-7127*7825-9980;;R SANTANA DE PIRAPAMA 269;;SAO MIGUEL PAULISTA;;;SAO PAULO;SP;08060-370;cilio25@hotmail.com      id 130*3973-vagner;
29;0-00029;N;;FUNILARIA-SANTO ANTONIO ;FUNILARIA-SANTO ANTONIO ;;9-NAO CONTR;;;;;;;;;;;;;_____-___;;
31;0-00031;N;NULL;TRANSPORTE-RODOEXPRESS ;TRANSPORTE-RODOEXPRESS ;;9-NAO CONTR;;(16) 3332 - 4174;;;;R SAO BENTO 700;;CENTRO;;;ARARAQUARA ;SP;_____-___;;MIUDEZAS EM GERAL 
32;0-00032;N;NULL;EQUIPAMENTOS/VENDA-D.LEGYDIO;EQUIPAMENTOS/VENDA-D.LEGYDIO;;9-NAO CONTR;;(16) 9961 - 2084;;016-36262100;;;;;;;;;_____-___;www.vmmaquinas.com.br;CECILIA
33;0-00033;N;NULL;MECANICA-PARATI ;MECANICA-PARATI ;;9-NAO CONTR;;(__) 3361 - 3371;;;;AV PROF LUIS AUGUSTO DE OLIVEIRA 210;;VILA MARIANA ;;;SAO CARLOS;SP;13566-340;;
34;0-00034;N;NULL;DISTRIBUIDORA-PLATINUM ;DISTRIBUIDORA-PLATINUM ;;9-NAO CONTR;;(01) 1366 - 5400;;ALEX;;AV.DOS ESTADOS,6843;;;;;SAO PAULO;SP;_____-___;;CAMPINAS(019)-37722300
35;0-00035;N;;AMORTECEDORES/REMANF-M A  ;AMORTECEDORES/REMANF-M A  ;;9-NAO CONTR;;(19) 3845 - 3137;;MARIO 19 81222811;;;;;;;;;_____-___;;
37;0-00037;N;NULL;PNEU-IMPORTADO(JINYU TIRE);MARCOS BARRELA;;9-NAO CONTR;;(01) 9997 - 7220;;MARCOS;;;;;;;JALES;;_____-___;jmesmarcos@yhoo.com.br;
38;0-00038;N;NULL;FLASH COM DE AUTO PECAS LTDA;RODA-BIG ;;9-NAO CONTR;02.796.053/0001-96;(11) 2422 - 3918;;RICARDO-97028201;;R DONA OLGA 04;;VL SAO JOAO;;;GUARULHOS;SP;07044-010;elainnepavao@hotmail.com;"ELAINE-016-33926281  16-9705 9380  11-2422 39118 JO FINANCEIRO** VINICIUS 8171-0811 BANCO 237 AG:593  C/C: 218397-8    259.520.678-83"
40;0-00040;N;;OXI-JUNIOR;GASES-OXI JUNIOR ;;9-NAO CONTR;;(16) 3361 - 8025;;RAUL 9187-3503;;;;;;;SAO CARLOS;SP;_____-___;;
41;0-00041;N;NULL;RODA-ZETTA;RODA-ZETTA;;9-NAO CONTR;;(80) 0600 - 5191;;LEMES;;;;;;;;;_____-___;;
42;0-00042;N;;CITROEN-RIO PARTS;CITROEN-RIO PARTS;;9-NAO CONTR;;(17) 3216 - 410_;(17) 3216 - 6375;DANILO MARTINS 103*128454;;;;;;;RIO PRETO;SP;_____-___;www.rioparts.com.br;
2977;fev/77;N;NULL;PEUGEOT-SAO PAULO;PEUGEOT-SAO PAULO;;9-NAO CONTR;;(11) 2158 - 2000;;LEANDRO;;;;;;;;;_____-___;;
44;0-00044;N;;RENAULT-DANTE;RENAULT-DANTE ;;9-NAO CONTR;;(16) 3515 - 2000;(__) 3515 - 1247;MOISES-FROTA;;AV: PRESIDENTE CASTELO BRANCO, 1235;;PQ.IND.LAGOINHA ;;;RIB.PRETO;SP;14095-000;;"RINALDO PECAS"
45;0-00045;N;NULL;SUMAKE PNEUMATIC DO BRASIL;EQUIPAMENTOS/VENDA-SUMAKE;562145415111;9-NAO CONTR;00.930.007/0001-60;;;DANIELA E EDER;;AV CIDADE FUKUYAMA 279;;MARIO AMATO;;;PRESIDENTE PRUDENTE ;SP;19064-210;;PAULO E FREIRE LEMOS / BRASIL AG 2958-0 CT 43222-2
46;0-00046;N;;DHF IND ECOM LTDA  ;DHF IND ECOM LTDA  ;;9-NAO CONTR;;(__) 8819 - 4060;;;;R FLOR DE LIZ 1000;;QUINTA DA BOA VISTA ;;;ITAQUAQUECETUBA;SP;08597-620;;
52;0-00052;N;;CHUMBO-METALURGICA S/A ;CHUMBO-METALURGICA S/A ;;9-NAO CONTR;;(16) 3204 - 2040;(16) 3204 - 2040;JOAO LUIS 016 97095543;;;;;;;;;_____-___;;
54;0-00054;N;NULL;CATALIZADOR-OG;CATALIZADOR-OG;NULL;9-NAO CONTR;;;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;_____-___;NULL;NULL
57;0-00057;N;NULL;LABORTECS;LABORTECS;;9-NAO CONTR;;(11) 9990 - 7778;;ROGERIO DEPTO PESSOAL;;;;;;;;;_____-___;;
59;0-00059;N;;EXTINTORES-ELICAR;EXTINTORES-ELICAR;;9-NAO CONTR;;(19) 3219 - 4620;(19) 9219 - 4620;CIBELE 33074600;;;;;;;;;_____-___;;
60;0-00060;N;;RODA FERRO-RODOBRAS;RODA FERRO-RODOBRAS ;;9-NAO CONTR;;(19) 3451 - 8393;;RENATA;;;;;;;LIMEIRA;SP;_____-___;;
61;0-00061;N;NULL;SPORT-LINE ;SPORT-LINE ;;9-NAO CONTR;;(__) 1965 - 5318;;;;;;;;;;;_____-___;;
65;0-00065;N;;WAGNER-FERRAMENTA;FERRAMENTA-WAGNER ;;9-NAO CONTR;;(19) 3452 - 9037;;(19)8137-2854;;;;;;;LIMEIRA ;SP;_____-___;;
66;0-00066;N;NULL;PNEU-LEONEL JALES ;PNEU-LEONEL JALES ;;9-NAO CONTR;;(17) 9605 - 3236;;17-36329898/36327057;;;;;;;;;_____-___;;
73;0-00073;N;;EAA EQUIP.AUTOMO.ARAUCARIA;EMASTER-ELEVADORES;;9-NAO CONTR;;(16) 3225 - 5030;(41) 3584 - 1176;EDUARDO-992408888;;;;;;;;;_____-___;etanabe@terra.com.br;"BRASIL AG.1467-2/CC 7062-9DIONE-041-98193288/13412212"
74;0-00074;N;;PNEU-SILCAR;PNEU-SILCAR;;9-NAO CONTR;54.376.462/0001-37;;(17) 3224 - 0055;91037197-JONER-;;;;;;;;;_____-___;carlostz@bol.com.br;JONERSILCARPNEUS.COM.BR
76;0-00076;N;NULL;PNEU-BRASIL ;PNEU-BRASIL ;;9-NAO CONTR;;(__) 6628 - 5077;(__) 6628 - 5563;;;R SANTOS 1201;;;;;RIBEIRAO PRETO;SP;13560-000;;
77;0-00077;N;;PNEU-MAGION;MAGION S COELHO PNEUMATICOS LTDA;;9-NAO CONTR;;(11) 3621 - 4160;;SILVANA BRASDESCO AG 2671-9 CT 1330-7;;R CAPELA DE SANTANA 14;;JD MARISA ;;;SAO PAULO;SP;05108-000;;
80;0-00080;N;NULL;FABRICIO-FORD ;FABRICIO-FORD ;;9-NAO CONTR;;(__) 7649 - 2188;;;;;;;;;;;_____-___;;
82;0-00082;N;NULL;RODA FERRO-ARVINMERITOR;RODA FERRO-ARVINMERITOR;;9-NAO CONTR;;;;DUVIDAS TECNICAS 088555530;;R ESTER ROMBENSO 403;;CENTRO;;;OSASCO;SP;06097-120;;
84;0-00084;N;;POSTO COMBUSTIVEL-ESTRELA ;POSTO COMBUSTIVEL-ESTRELA ;;9-NAO CONTR;;(16) 3372 - 8415;;ESTEVAN;;;;;;;;;_____-___;;
85;0-00085;N;;CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA;CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA;407237107113;9-NAO CONTR;02.036.483/0004-52;(16) 4583 - 6161;(11) 4583 - 6200;BARBARA(11)4583-6207;(11) 4583 - 6190;RODOVIA DOM GABRIEL PAULINO BUENO COUTO;;MEDEIROS;KM 66;3525904;JUNDIAI;SP;13212-240;011-45836226;
2627;mai/27;N;NULL;JOVEM PAN;SISTEMA ATHENAS PAULISTA DE RADIODIFUSAO;;9-NAO CONTR;01.064.978/0001-80;(16) 3203 - 5355;;;;AVENIDA MARECHAL DEODORO;350;CENTRO;;3524303;JABOTICABAL;SP;14870-180;;
87;0-00087;N;;BRINDES-PLASTBEL;ABEL PEREIRA DOS  SANTOS FILHO;;9-NAO CONTR;;(__) 3201 - 1196;;VALTER ;;R.HUMBERTO DE CAMPOS ,308;;VL.LUTALLA;;;SAO CARLOS;SP;13570-110;plastbel_bolsas@yahoo.com.br;BOLSAS
88;0-00088;N;NULL;INJECAO-CLARICE(REMANF);INJECAO-CLARICE(REMANF);;9-NAO CONTR;;(19) 8126 - 4219;;CLARICE CHIARELLI;;;;;;;;;_____-___;;
89;0-00089;N;;ACESSORIOS-KEKO;ACESSORIOS-KEKO;;9-NAO CONTR;;(54) 2101 - 0730;(54) 2101 - 0700;JANAINA;;;;;;;;;_____-___;keko 019-993343396;"(16)9607-3000(16)30551984"
90;0-00090;N;;RENAULT-EURO BRAKE;RENAULT-EURO BRAKE;;9-NAO CONTR;04.023.406/0001-40;(11) 3835 - 3235;(11) 3835 - 3122;;;R WALTRUDES CORREA 115;;CENTRO ;;;SAO PAULO;SP;05122-070;josias@urobrake.com.br;BRADESCO : AG2876/CC4499-7
91;0-00091;N;;PASTA-LIMPAR MAO;PASTA-LIMPAR MAO;;9-NAO CONTR;;(16) 9786 - 1803;;RICARDO;;;;;;;SAO CARLOS;SP;_____-___;;
92;0-00092;N;NULL;MAURCIO;EQUIPAMENTOS/MANUTENCAO-RIMAQ;;9-NAO CONTR;;(16) 3967 - 8252;(16) 8127 - 2773;RONALDO 19 34057452   / /  81212066;;R JOAO BIM 1305;;JD PAULISTANO ;;;RIBEIRAO PRETO;SP;14090-340;;
94;0-00094;N;;CLARO-FLEX TELECON;CLARO-FLEX TELECON;;9-NAO CONTR;;(__) 3372 - 5246;;MARCOS P.ESTEVO-92239765;;R.RIACHUELO.436;;CENTRO;;;SAO CARLOS;SP;13560-110;sac@flextelecon.com.br;
95;0-00095;N;;ENGATES-FREVO;ARTUR SIMOES DE FREITAS ENGATES-ME;562241497118;9-NAO CONTR;04.489.179/0001-43;(18) 3909 - 4366;;ARTUR/CINTIA;;RUA VICENTE MELE;522;CONJUNTO HABITACIONAL ANA JACINTA;;3541406;PRESIDENTE PRUDENTE;SP;19064-200;engatesfrevo@hotmail.com;
96;0-00096;N;NULL;ACESSORIOS-NEW KAR;ACESSORIOS-NEW KAR;;9-NAO CONTR;;(11) 4138 - 8121;;0800-0151173;;R.FRANCISCO DAMICO .115;;PQ.IND.PIRAJUSSA;;;TABOAO D SERRA;SP;06785-290;;EDSON PORTO 011-78324202/ID 84*10690 (AUTOMEC)
97;0-00097;N;NULL;PNEU-AUTO TEC  ;PNEU-AUTO TEC  ;;9-NAO CONTR;;(11) 4705 - 1107;(11) 4156 - 3102;JOSE ;;;;;;;SANTANA PARNAIBA;SP;_____-___;;
98;0-00098;N;NULL;TELEFONICA  ;TELEFONICA  ;;9-NAO CONTR;;(16) 9113 - 8471;;RAFAEL DOS  ANJOS (NEGOCIOS 0800-0151500;;;;;;;;;_____-___;;10315 /DENER 97700956
112;0-00112;N;;AUTO ELETRICO-BORGE;AUTO ELETRICO-BORGE;;9-NAO CONTR;;(16) 3368 - 9435;;;;AV: GETULIO VARGAS;;VILA ISABEL;;;SAO CARLOS;SP;_____-___;;
116;0-00116;N;;IMPORTADOS-VANS MARAJA IMPORTS;IMPORTADOS-VANS MARAJA IMPORTS;;9-NAO CONTR;;(11) 3941 - 2393;(11) 3941 - 1879;;;R 21 DE AGOSTO 277;;JARAGUA ;;;SAO PAULO;SP;51853-500;;
117;0-00117;N;NULL;VEICULOS-BARU VEICULOS DE FIBRA ;VEICULOS-BARU VEICULOS DE FIBRA ;;9-NAO CONTR;;(11) 6641 - 8840;;BARU ;;AV GABRIELA MISTRAL 835;;PENHA ;;;SAO PAULO;SP;_____-___;;
118;0-00118;N;;NANTES;NANTES;;9-NAO CONTR;;(16) 3368 - 5000;;;;AV GETULIO VARGAS;;;;;SAO CARLOS;SP;_____-___;;
120;0-00120;N;;CAIXA DIRECAO/REMANF-EDAO;CAIXA DIRECAO/REMANF-EDAO;;9-NAO CONTR;;(16) 3375 - 5310;(__) 3372 - 1312;EDAO;(16) 9241 - 7263;R:LEOPOLDO PRADO;1262;VILA PRADO ;;;SAO CARLOS;SP;13560-000;;
140;0-00140;N;;PECAS USADAS -PEDRINHO(ANTIGO JOAL);PECAS USADAS - JOAL  ;;9-NAO CONTR;;(16) 3368 - 9467;;(16)3368-4587 SERRANA;;;;;;;;;_____-___;;
141;0-00141;N;;SUN SNAP ON DO BRASIL COM E IND LTDA;EQUIPAMENTOS/VENDA-SUN;;9-NAO CONTR;60.395.175/0001-77;(19) 2108 - 1000;;FLAVIO ASSIST. TECNICA (11)5585-0228;;RUA JUSCELINO KUBITSCHEK DE OLIVEIRA;470;DIST INDUSTRIAL ;;;SANTA BARBARA DO OESTE ;SP;13456-401;*9*99365152;"BANCO AG:3362-6  C/C:1640-39997408 ASSIN TECNICA RIB PRETO169156-4826 MARCOS /VICENTE 16-988155012 16-9-97250826EXATAAUTOMOTIVAYAHOO.COM.BR   MARCEL MARCOS-991564826"
142;0-00142;N;NULL;CARTORIO-PORTO ;CARTORIO-PORTO ;;9-NAO CONTR;;(16) 3373 - 9000;;FERNANDO SIQUEIRA ;;;;;;;;;_____-___;;
143;0-00143;N;;PNEU-LEXUS(KUMHO);PNEU-LEXUS;;9-NAO CONTR;;(14) 3021 - 6293;;014-97412600;;;;VL ELISA ;;;;SP;14075-000;alexandrebarbosa.pneus@gmail.com;
144;0-00144;N;NULL;TRANSPORTE-TRANSCARGA ;TRANSPORTE-TRANSCARGA ;;9-NAO CONTR;;(__) 3361 - 4198;;SAO PAULO 011 29050566;;ROD W LUIS KM 236,1;;RURAL ;;;SAO CARLOS;SP;13560-000;;
145;0-00145;N;NULL;PECAS GELADEIRA-LAIRTON;PECAS GELADEIRA-LAIRTON;;9-NAO CONTR;;(16) 3307 - 7116;;LAIRTON ;;R MANOEL MARTINS 165;;JD MUNIQUE ;;;SAO CARLOS;SP;13568-250;;
149;0-00149;N;;LUBRIFICANTES-RICK;MULTI LUB;;9-NAO CONTR;;(__) 3307 - 7859;;RICK;;;;;;;SAO CARLOS;SP;_____-___;;
152;0-00152;N;;CLARO ;CLARO ;;9-NAO CONTR;;(16) 3333 - 8628;;ALESSANDRO/9227-9031;;R MONTEIRO LOBATO  ;;;;;ARARQUARA;SP;13560-000;atendimento@onlineclaro.com.br;
154;0-00154;N;;MOTO-CASA CAPACETE ;MOTO-CASA CAPACETE ;;9-NAO CONTR;;(16) 3625 - 1342;;TONINHO;;R BERNARDINO DE CAMPOS 1118;;CENTRO ;;;RIBEIRAO PRETO;SP;13560-000;;
156;0-00156;N;NULL;FERRAMENTA-OXI MAQUINAS ;FERRAMENTA-OXI MAQUINAS ;;9-NAO CONTR;;(16) 9601 - 2136;;FERRARI;;AV GETULIO VARGAS 83;;VL LUTFALA ;;;SAO CARLOS;SP;13570-400;;
158;0-00158;N;;BENEVICK CONSERTO/BALANCEADORA;EQUIPAMENTOS/MANUTENCAO-BENE;;9-NAO CONTR;;(__) 9759 - 1538;;;;;;;;;;;_____-___;;
159;0-00159;N;NULL;EMEB DO BRASIL LTDA  ;EQUIPAMENTOS/VENDA-EMEB;;9-NAO CONTR;50.227.644/0001-95;(11) 4024 - 1921;(01) 1296 - 9200;ADILSON;;;;;;;SAO CARLOS;SP;_____-___;;
162;0-00162;N;NULL;PNEU-TUR  ;PNEU-TUR  ;;9-NAO CONTR;71.806.202/0001-73;;;;;;;;;;;;_____-___;;
165;0-00165;N;NULL;ADVOGADO-ALINE;ADVOGADO-ALINE;;9-NAO CONTR;;(16) 3413 - 1689;(__) 9174 - 4268;;;;;;;;SAO CARLOS;SP;13560-000;;
166;0-00166;N;;MASTRA ESCAPAMENTOS;MASTRA ESCAPAMENTOS;;9-NAO CONTR;;(08) 0016 - 6127;(19) 3446 - 4314;TANIA FIANCEIRO;(19) 3446 - 4300;;;;;;;;_____-___;;
2975;ago/75;N;NULL;MOTORISTAS PECAS ARARAS;MOTORISTAS PECAS ARARAS;;9-NAO CONTR;;(19) 3542 - 2656;;;(19) 3542 - 2652;;;;;;;;_____-___;;
167;0-00167;N;;TRANSPORTE-EDSON;TRANSPORTE-EDSON;;9-NAO CONTR;;(16) 9638 - 2852;(16) 9232 - 3573;;;;;;;;SAO CARLOS;SP;_____-___;;
169;0-00169;N;NULL;SERRALHERIA-TC;SERRALHERIA-TC;;9-NAO CONTR;;(16) 3116 - 4430;;TERMUTES;;R BERNARDINO F NUNES 635 BLOCO 02;;CIDADE JARDIM ;;;SAO CARLOS;SP;13560-000;;VAGNER 97167784
171;0-00171;N;;MATERIAIS P/CONSTRUCAO-TARANA;MATERIAIS P/CONSTRUCAO-TARANA;;9-NAO CONTR;;(16) 3368 - 2249;;EDSON ;;;;;;;;;_____-___;;
174;0-00174;N;NULL;MATERIAIS P/CONSTRUCAO-MONACO;MATERIAIS P/CONSTRUCAO-MONACO;;9-NAO CONTR;;(16) 3372 - 2922;;;;;;;;;SAO CARLOS;SP;_____-___;;
175;0-00175;N;NULL;FERRAMENTA-VIMALTEC;FERRAMENTA-VIMALTEC;;9-NAO CONTR;;(11) 6941 - 8612;(11) 6197 - 3026;;;;;;;;;;_____-___;;
176;0-00176;N;NULL;MADEIREIRA-EXPANSAO;MADEIREIRA-EXPANSAO;;9-NAO CONTR;;(16) 3361 - 2835;;;;;;;;;;;_____-___;;
177;0-00177;N;;LUBRIFICANTES-ATLAS;LUBRIFICANTES-ATLAS;;9-NAO CONTR;;(08) 0077 - 0335;;MARCIO;;;;;;;;;_____-___;;
178;0-00178;N;NULL;CACAMBA-ALO ENTULHO;CACAMBA-ALO ENTULHO;;9-NAO CONTR;;(16) 3371 - 2391;;DANIEL ;;R MARIA CONSUELO BRNADAO TOLENTINO 212;;JD BICAO;;;SAO CARLOS;SP;13560-000;;
179;0-00179;N;;AUTO ELETRICO-VIEIRA ;AUTO ELETRICO-VIEIRA ;;9-NAO CONTR;;(16) 9704 - 4868;;;;;;;;;SAO CARLOS;SP;13560-000;;
180;0-00180;N;NULL;AUTO MECANICA-LEIVA ;AUTO MECANICA-LEIVA ;;9-NAO CONTR;;(16) 3368 - 3380;;33689146;;;;;;;;;_____-___;;
181;0-00181;N;;SUPERMERCADO-EXTRA;SUPERMERCADO-EXTRA;;9-NAO CONTR;;(__) 3371 - 2116;(__) 3372 - 5891;;;;;;;;;;_____-___;cris_esporte@hotmail.com;"CRISTINA AMARAL 016-991206505/33732000 WELLINTON OU ELIAS"
185;0-00185;N;;AUTENTIC MAQUINAS AUTOMOTIVAS;EQUIPAMENTOS/VENDA-AUTENTIC;;9-NAO CONTR;;(16) 3628 - 2116;;CHICO 9176-9563;;R GUIANA FRANCESA 785;;VILA MARIANA ;;;RIBEIRAO PRETO;SP;14075-220;;LUIS 991048903 OU DALVO
187;0-00187;N;;CHUMBO-ALEXANDRE;ESCAPECIA;;9-NAO CONTR;;(16) 9279 - 7447;(11) 4784 - 5171;;;;;;;;;;_____-___;;""
188;0-00188;N;;SUSPENSAO ROSCA-JUNINHO;SUSPENSAO ROSCA-JUNINHO;;9-NAO CONTR;;(16) 3361 - 3054;;981889007;;;;;;;;;_____-___;;
190;0-00190;N;;DISTRIBUIDOR-ATIVA(ROLAMENTOS);ATIVA ROLAMENTOS E PECAS AUTOMOTIVAS;;9-NAO CONTR;;(11) 3931 - 7475;;;;R BONIFACIO CUBAS 627;;;;;SAO PAULO;SP;02731-000;;
191;0-00191;N;NULL;EXAUSTORES EOLICOS R.C.A;EXAUSTORES EOLICOS R.C.A;;9-NAO CONTR;;(16) 3368 - 3182;;RUI;;R NUNCIO CARDINALLI 150;;VL ISABEL ;;;SAO CARLOS;SP;13560-000;;
192;0-00192;N;NULL;CONSULTORIA-JOB ;CONSULTORIA-JOB ;;9-NAO CONTR;;(16) 3362 - 5000;;;;R NOVE DE JULHO ;;CENTRO;;;SAO CARLOS;SP;_____-___;;
194;0-00194;N;;METROSUL COM.DE VEICULOS S/A;GM-METROSUL;9028792422;9-NAO CONTR;05.783.976/0001-00;(80) 0643 - 3001;;RODRIGO;;AV.MARECHAL FLORIANO PEIXOTO, 3330;;;;;CURITIBA ;PR;80220-000;;
195;0-00195;N;;CONSERTO MACACO MELO EQUIPAMENTOS;EQUIPAMENTOS/MANUTENCAO-MELO;;9-NAO CONTR;;;;ADMILSON-992669168;;RUA FLORIANO PEIXOTO;1671;VILA TAMOIO;;;IBATE;SP;14815-000;;MELO 99256-2997
196;0-00196;N;NULL;VILLAS COMERCIAL DE AUTO PECAS LTDA;ACESSORIOS-VILLAS;;9-NAO CONTR;;(11) 6412 - 3129;(__) 6412 - 4817;LIGIA 0800106644;;R SAO MATEUS DO  MARANHAO 85;;CUMBICA ;;;GUARULHOS;SP;07222-140;;
